TS : 1840534, TJ : 1493017
TS : 9999149, TJ : 9648908
TS : 1899469, TJ : 1553811
TS : 4135458, TJ : 3765465
TS : 1640097, TJ : 1316925
TS : 1903864, TJ : 1530399
TS : 1728565, TJ : 1392717
TS : 5949082, TJ : 5597908
TS : 1955272, TJ : 1650787
TS : 1605385, TJ : 1291369
TS : 1862607, TJ : 1543256
TS : 1714015, TJ : 1363797
TS : 2021518, TJ : 1641574
TS : 1734110, TJ : 1404051
TS : 2201382, TJ : 1517093
TS : 1943283, TJ : 1560291
TS : 29397298, TJ : 29143383
TS : 4409632, TJ : 4096239
TS : 4698332, TJ : 4431773
TS : 1422987, TJ : 1214398
TS : 1533166, TJ : 1212358
TS : 1806556, TJ : 1491146
TS : 1930354, TJ : 1600946
TS : 4257289, TJ : 3912692
TS : 4328841, TJ : 4275971
TS : 6418034, TJ : 6360633
TS : 1569174, TJ : 1244576
TS : 4663234, TJ : 4301262
TS : 1679034, TJ : 1351768
TS : 1898151, TJ : 1541231
TS : 47173846, TJ : 46813202
TS : 3743437, TJ : 3340676
TS : 1773725, TJ : 1455480
TS : 1734403, TJ : 1347312
TS : 3331906, TJ : 3039302
TS : 3822708, TJ : 3233957
TS : 4388559, TJ : 4157429
TS : 1810294, TJ : 1447820
TS : 4454192, TJ : 4101880
TS : 3979953, TJ : 3921973
TS : 1349313, TJ : 1293367
TS : 8539866, TJ : 8250210
TS : 1787405, TJ : 1456412
TS : 1826143, TJ : 1433613
TS : 1793840, TJ : 1457747
TS : 5893291, TJ : 5596393
TS : 10591554, TJ : 10267464
TS : 1192540, TJ : 1138305
TS : 3219464, TJ : 3166200
TS : 1280168, TJ : 1225474
TS : 6500393, TJ : 6446052
TS : 1424712, TJ : 1369576
TS : 1238594, TJ : 1161863
TS : 1379436, TJ : 1325363
TS : 1386260, TJ : 1320967
TS : 4886698, TJ : 4834187
TS : 1871364, TJ : 1552476
TS : 2362666, TJ : 1691338
TS : 3875319, TJ : 3546187
TS : 3396991, TJ : 3049319
TS : 6482760, TJ : 6105837
TS : 1435907, TJ : 1379552
TS : 1310426, TJ : 1244845
TS : 1378710, TJ : 1326893
TS : 4076628, TJ : 4022240
TS : 1512178, TJ : 1178874
TS : 6055013, TJ : 6000630
TS : 1671285, TJ : 1342097
TS : 3702730, TJ : 3355130
TS : 1624173, TJ : 1303608
TS : 2581551, TJ : 2255169
TS : 4657903, TJ : 4274891
TS : 1971509, TJ : 1603045
TS : 7882783, TJ : 7571086
TS : 70813485, TJ : 70483664
TS : 6479068, TJ : 5792054
TS : 1685228, TJ : 1353918
TS : 2023454, TJ : 1711131
TS : 1784403, TJ : 1460852
TS : 12429290, TJ : 12084178
TS : 1667005, TJ : 1338528
TS : 1962124, TJ : 1525536
TS : 1789027, TJ : 1463937
TS : 4171920, TJ : 3858996
TS : 1651423, TJ : 1323136
TS : 3660004, TJ : 3339674
TS : 1744457, TJ : 1420050
TS : 1869515, TJ : 1499688
TS : 1843165, TJ : 1477903
TS : 1979448, TJ : 1634870
TS : 4134768, TJ : 3816025
TS : 1496093, TJ : 1441109
TS : 1847681, TJ : 1499194
TS : 1852659, TJ : 1456298
TS : 1778907, TJ : 1411762
TS : 4384063, TJ : 4068419
TS : 1757162, TJ : 1454248
TS : 2256333, TJ : 1593590
TS : 2229451, TJ : 1864911
TS : 3875961, TJ : 3570233
TS : 9843295, TJ : 9810791
TS : 5581440, TJ : 5516697
TS : 1799922, TJ : 1485125
TS : 1955155, TJ : 1651748
TS : 7016446, TJ : 6604217
TS : 1649835, TJ : 1392223
TS : 3294658, TJ : 3014999
TS : 1136602, TJ : 1091633
TS : 1341272, TJ : 1290582
TS : 4338122, TJ : 4285895
TS : 3270489, TJ : 2856850
TS : 4565740, TJ : 4240479
TS : 1626594, TJ : 1320276
TS : 1937856, TJ : 1623833
TS : 4400803, TJ : 4043660
TS : 10249054, TJ : 9879297
TS : 1721987, TJ : 1671781
TS : 55413805, TJ : 55342050
TS : 3700963, TJ : 3378864
TS : 4081480, TJ : 3645491
TS : 1131934, TJ : 1088627
TS : 1178649, TJ : 1123702
TS : 1769830, TJ : 1718844
TS : 1282169, TJ : 1229845
TS : 1665246, TJ : 1620934
TS : 1336148, TJ : 1289604
TS : 11861285, TJ : 11815986
TS : 4518280, TJ : 4175295
TS : 1767707, TJ : 1433564
TS : 3941879, TJ : 3580751
TS : 1575119, TJ : 1291385
TS : 1817127, TJ : 1433198
TS : 1722965, TJ : 1386219
TS : 13371804, TJ : 13044789
TS : 1867037, TJ : 1481399
