TS : 164458817, TJ : 1229636
TS : 150215897, TJ : 1352459
TS : 156145510, TJ : 1031291
TS : 158430758, TJ : 1064320
TS : 164355468, TJ : 1233716
TS : 163270672, TJ : 1902909
TS : 205570447, TJ : 40044993
TS : 800925965, TJ : 577478019
TS : 168318071, TJ : 2072824
TS : 234897027, TJ : 60230608
TS : 166214108, TJ : 695776
TS : 178195853, TJ : 5127249
TS : 163557635, TJ : 1207221
TS : 193770652, TJ : 32636837
TS : 173164318, TJ : 1544653
TS : 201199273, TJ : 34237049
TS : 173585953, TJ : 2267544
TS : 154057893, TJ : 698873
TS : 185018192, TJ : 29688210
TS : 156878955, TJ : 2649369
TS : 161683356, TJ : 954360
TS : 173402549, TJ : 25700223
TS : 207281582, TJ : 43559227
TS : 183352102, TJ : 18500809
TS : 155851467, TJ : 1176290
TS : 159968791, TJ : 20899081
TS : 160615550, TJ : 1864556
TS : 176471818, TJ : 16992927
TS : 180038810, TJ : 29142709
TS : 164381130, TJ : 1239770
TS : 162061424, TJ : 1065482
TS : 557885206, TJ : 343603702
TS : 170235398, TJ : 1703391
TS : 187371194, TJ : 25485011
TS : 306437907, TJ : 140443816
TS : 202449617, TJ : 43914405
TS : 156836577, TJ : 6377309
TS : 154925457, TJ : 5138825
TS : 164023602, TJ : 11615237
TS : 161661395, TJ : 876598
TS : 208297470, TJ : 43283541
TS : 175338477, TJ : 19332941
TS : 163109161, TJ : 5062786
TS : 191314309, TJ : 38647326
TS : 166531759, TJ : 2112730
TS : 162588801, TJ : 632788
TS : 169044224, TJ : 6481795
TS : 163144342, TJ : 2072349
TS : 167876232, TJ : 2352134
TS : 176896201, TJ : 20424964
TS : 155041313, TJ : 917950
TS : 159082181, TJ : 1597061
TS : 215000947, TJ : 52850346
TS : 185865131, TJ : 21287211
TS : 163899606, TJ : 2108859
TS : 165258506, TJ : 1085167
TS : 158343114, TJ : 1012951
TS : 159806313, TJ : 1175632
TS : 244583577, TJ : 96253584
TS : 162561788, TJ : 1074993
TS : 157425827, TJ : 1008098
TS : 212166139, TJ : 56041632
TS : 169240964, TJ : 14273166
TS : 200081226, TJ : 31107313
TS : 194980260, TJ : 30449293
TS : 154882461, TJ : 1061922
TS : 152976573, TJ : 1636571
TS : 150255794, TJ : 1362561
TS : 192679123, TJ : 30801866
TS : 154190418, TJ : 1624888
TS : 198914864, TJ : 31971258
TS : 120451571, TJ : 2890720
TS : 122057866, TJ : 2339921
TS : 193955673, TJ : 39461515
TS : 123709995, TJ : 2102859
TS : 133713550, TJ : 7323637
TS : 119422855, TJ : 1283239
TS : 188031368, TJ : 34815897
TS : 128068921, TJ : 911445
TS : 134162014, TJ : 1781714
TS : 135808767, TJ : 7254829
TS : 137251748, TJ : 1221548
TS : 156359146, TJ : 28998164
TS : 131157492, TJ : 1337056
TS : 138146183, TJ : 4392709
TS : 152593728, TJ : 36897432
TS : 125420002, TJ : 859608
TS : 132253731, TJ : 1442231
TS : 128995853, TJ : 2491019
TS : 167381304, TJ : 25225486
TS : 133949300, TJ : 789620
TS : 688052242, TJ : 528035539
TS : 140946189, TJ : 2554751
TS : 474799696, TJ : 314656383
TS : 158309671, TJ : 35056094
TS : 123002550, TJ : 1063478
TS : 146385551, TJ : 10423029
TS : 121218659, TJ : 1366497
TS : 122429932, TJ : 2048872
TS : 163422538, TJ : 29418174
TS : 131780549, TJ : 6134397
TS : 119344640, TJ : 776197
TS : 142641327, TJ : 22086021
TS : 123669828, TJ : 6095180
TS : 144622184, TJ : 21128512
TS : 146290358, TJ : 32175349
TS : 133269111, TJ : 6471026
