TS : 2873709, TJ : 1681503
TS : 2837115, TJ : 1684180
TS : 2981340, TJ : 1637248
TS : 2827503, TJ : 1667345
TS : 6948118, TJ : 5885419
TS : 2433909, TJ : 1502497
TS : 42000034, TJ : 41077261
TS : 8661017, TJ : 7161370
TS : 2296767, TJ : 1322275
TS : 2252670, TJ : 1268198
TS : 2244178, TJ : 1254184
TS : 8986245, TJ : 7804644
TS : 2684445, TJ : 1532532
TS : 2519840, TJ : 1555694
TS : 3903042, TJ : 2856539
TS : 2426266, TJ : 1396559
TS : 2946495, TJ : 1680599
TS : 2925071, TJ : 1778466
TS : 2515335, TJ : 1569044
TS : 2619489, TJ : 1504605
TS : 2531807, TJ : 1506986
TS : 2903361, TJ : 1760322
TS : 2611651, TJ : 1574291
TS : 2387928, TJ : 1410729
TS : 2495751, TJ : 1561391
TS : 3174571, TJ : 2236436
TS : 2880253, TJ : 1716295
TS : 2506730, TJ : 1548815
TS : 5469122, TJ : 4504146
TS : 2382094, TJ : 1327637
TS : 2792827, TJ : 1703557
TS : 2858041, TJ : 1689133
TS : 2710176, TJ : 1622176
TS : 2771923, TJ : 1653649
TS : 2306276, TJ : 1349365
TS : 2415976, TJ : 1427121
TS : 2550352, TJ : 1554639
TS : 3749119, TJ : 2742207
TS : 2953866, TJ : 1790908
TS : 2450039, TJ : 1451521
TS : 2680972, TJ : 1652269
TS : 2302087, TJ : 1256439
TS : 2704092, TJ : 1566022
TS : 4275169, TJ : 1443491
TS : 2650540, TJ : 1695025
TS : 2653285, TJ : 1645072
TS : 5982756, TJ : 5068402
TS : 4138944, TJ : 1199307
TS : 5755122, TJ : 4368164
TS : 2820609, TJ : 1665495
TS : 2509176, TJ : 1355359
TS : 2470888, TJ : 1470372
TS : 2775501, TJ : 1701238
TS : 2052597, TJ : 1185129
TS : 5310874, TJ : 4343823
TS : 2181574, TJ : 1272321
TS : 1979504, TJ : 1088562
TS : 2704274, TJ : 1609769
TS : 2103491, TJ : 1211281
TS : 2978186, TJ : 1833947
TS : 2382970, TJ : 1379039
TS : 11802777, TJ : 10659642
TS : 2731258, TJ : 1512507
TS : 2066174, TJ : 1175801
TS : 4706042, TJ : 1692898
TS : 11857237, TJ : 10647625
TS : 1975590, TJ : 1080691
TS : 3031468, TJ : 2155522
TS : 15427203, TJ : 14353578
TS : 6977179, TJ : 5838419
TS : 2037665, TJ : 1029903
TS : 7988243, TJ : 6687264
TS : 3903106, TJ : 1666399
TS : 6008022, TJ : 4651624
TS : 2901075, TJ : 1648843
TS : 2134940, TJ : 1246928
TS : 2465435, TJ : 1528989
TS : 3425593, TJ : 1271754
TS : 9499388, TJ : 8312936
TS : 6204977, TJ : 5101733
TS : 6839956, TJ : 5972683
TS : 2114199, TJ : 1203273
TS : 2686629, TJ : 1539586
TS : 2206553, TJ : 1268392
TS : 3083625, TJ : 1217308
TS : 5743903, TJ : 4576203
TS : 2361517, TJ : 1359966
TS : 2609663, TJ : 1573767
TS : 2060115, TJ : 1153489
TS : 4290523, TJ : 3002352
TS : 4901896, TJ : 1710725
TS : 2392588, TJ : 1399894
TS : 2816085, TJ : 1603837
TS : 2194573, TJ : 1221449
TS : 2702158, TJ : 1595477
TS : 9109819, TJ : 7853054
TS : 11059633, TJ : 5057342
TS : 12474738, TJ : 9294281
TS : 13527046, TJ : 5738732
TS : 15747482, TJ : 13588179
TS : 13305241, TJ : 8384347
TS : 2936623, TJ : 1714509
TS : 2957210, TJ : 1376601
TS : 11495354, TJ : 10521998
TS : 5395691, TJ : 1325355
TS : 36439490, TJ : 35293558
TS : 2761573, TJ : 1570359
TS : 5415958, TJ : 4269253
TS : 6092412, TJ : 2136300
TS : 12918833, TJ : 11912257
TS : 2827384, TJ : 1645849
TS : 2636188, TJ : 1535300
TS : 2812642, TJ : 1588779
TS : 3789633, TJ : 2903258
TS : 5240248, TJ : 2082758
TS : 2744765, TJ : 1537061
TS : 2699611, TJ : 1583424
TS : 2335375, TJ : 1337908
TS : 7624202, TJ : 6562817
TS : 6398686, TJ : 5311720
TS : 2786940, TJ : 1595221
TS : 2554084, TJ : 1454112
TS : 2332400, TJ : 1308227
TS : 1979244, TJ : 1125533
TS : 2001233, TJ : 1147846
TS : 2800226, TJ : 1618518
TS : 2647002, TJ : 1655997
TS : 3864742, TJ : 1293613
TS : 7308507, TJ : 6092351
TS : 6320122, TJ : 5347503
TS : 9031876, TJ : 1212566
TS : 11227331, TJ : 5570376
TS : 10667701, TJ : 4526068
TS : 12454109, TJ : 8628434
TS : 13953445, TJ : 11445508
TS : 9114622, TJ : 3672417
TS : 11117782, TJ : 3236223
TS : 4981552, TJ : 2066482
TS : 18396227, TJ : 15312283
TS : 21930202, TJ : 19862278
TS : 10366007, TJ : 4106161
TS : 12671325, TJ : 8467864
TS : 13731228, TJ : 12041650
TS : 10744190, TJ : 5214019
TS : 11621286, TJ : 4906379
TS : 8710592, TJ : 1256959
TS : 10563897, TJ : 7671170
TS : 11825144, TJ : 4676830
TS : 12395058, TJ : 7167322
TS : 14866604, TJ : 12563591
TS : 18712663, TJ : 15417816
TS : 20644543, TJ : 18460586
TS : 20009597, TJ : 4891734
TS : 20816554, TJ : 3766607
TS : 32633172, TJ : 28556333
TS : 14879026, TJ : 7724982
TS : 14288820, TJ : 8884581
TS : 9891069, TJ : 1937591
TS : 17533070, TJ : 15151831
TS : 43873836, TJ : 38544013
TS : 4997372, TJ : 1249101
TS : 6936216, TJ : 4307393
TS : 2887433, TJ : 1687100
TS : 2816108, TJ : 1608179
TS : 2784505, TJ : 1618992
TS : 10690721, TJ : 8707709
TS : 13424512, TJ : 9363970
TS : 15468161, TJ : 11837407
TS : 2052701, TJ : 1081362
TS : 2907618, TJ : 1736050
TS : 8569868, TJ : 7293765
TS : 3867203, TJ : 2956262
TS : 5879294, TJ : 2011202
TS : 3314108, TJ : 2420072
TS : 3030354, TJ : 1810087
TS : 3205228, TJ : 2019781
TS : 2180322, TJ : 1207979
TS : 2209129, TJ : 1262877
TS : 21125291, TJ : 19453499
TS : 2938120, TJ : 1751812
TS : 3020010, TJ : 1879642
TS : 2620333, TJ : 1118513
TS : 2166230, TJ : 1320910
TS : 2460009, TJ : 1351517
TS : 5910972, TJ : 4717435
TS : 2732371, TJ : 1618609
TS : 5850065, TJ : 4807836
TS : 2674415, TJ : 1600564
TS : 2425937, TJ : 1328237
TS : 7476697, TJ : 3792255
TS : 8244854, TJ : 6270503
TS : 9245693, TJ : 3847791
TS : 10846667, TJ : 3595012
TS : 13317994, TJ : 12004135
TS : 2702124, TJ : 1593310
TS : 5386522, TJ : 1042244
TS : 2264273, TJ : 978804
TS : 2020429, TJ : 1117152
TS : 9974185, TJ : 4276818
TS : 12143695, TJ : 8959232
TS : 13899718, TJ : 5095961
TS : 13251772, TJ : 2911384
TS : 21970156, TJ : 19700501
TS : 2876118, TJ : 1660059
TS : 2299340, TJ : 1085741
TS : 2153313, TJ : 1175475
TS : 2152432, TJ : 1274630
TS : 2066283, TJ : 1151058
TS : 3038156, TJ : 1866025
TS : 1943970, TJ : 1062105
TS : 5782732, TJ : 4762908
TS : 4814931, TJ : 3724915
TS : 9075189, TJ : 3856028
TS : 10819126, TJ : 3846345
TS : 11261544, TJ : 7797906
TS : 12400764, TJ : 4266581
TS : 13483813, TJ : 11457642
TS : 2917754, TJ : 1717864
TS : 2079036, TJ : 1169812
TS : 4209924, TJ : 1762400
TS : 3805526, TJ : 2772413
TS : 2801109, TJ : 1618784
TS : 2929489, TJ : 1769344
TS : 3101502, TJ : 2080204
TS : 4701293, TJ : 1416925
TS : 5933376, TJ : 3724089
TS : 2855539, TJ : 1675180
TS : 3015241, TJ : 1714380
TS : 2342579, TJ : 1411212
