TS : 10415230, TJ : 5273368
TS : 7828322, TJ : 7579987
TS : 3595227, TJ : 1109094
TS : 5247230, TJ : 3481733
TS : 44885734, TJ : 44168074
TS : 3522468, TJ : 3161772
TS : 3141030, TJ : 1854235
TS : 4408825, TJ : 3714865
TS : 7251545, TJ : 6949762
TS : 10128047, TJ : 2773979
TS : 13292490, TJ : 12182454
TS : 11672461, TJ : 9375900
TS : 21488568, TJ : 14328791
TS : 23258344, TJ : 22407620
TS : 2729836, TJ : 2501752
TS : 5766591, TJ : 5115881
TS : 7257899, TJ : 4368800
TS : 22872277, TJ : 16715885
TS : 403176065, TJ : 401301008
TS : 7704229, TJ : 3193528
TS : 6607039, TJ : 4189417
TS : 7716224, TJ : 7376922
TS : 14261938, TJ : 13954619
TS : 6924578, TJ : 5703052
TS : 7561189, TJ : 5861453
TS : 8304404, TJ : 5418426
TS : 16942451, TJ : 14111122
TS : 8900545, TJ : 8662636
TS : 1366972, TJ : 1145212
TS : 9501326, TJ : 8869914
TS : 10838571, TJ : 10626300
TS : 15246975, TJ : 14582732
TS : 4206193, TJ : 2884847
TS : 4828039, TJ : 4159177
TS : 1635549, TJ : 1335316
TS : 14300928, TJ : 13019549
TS : 3164037, TJ : 2949472
TS : 4286988, TJ : 2664717
TS : 3345191, TJ : 3095011
TS : 17034582, TJ : 16789927
TS : 3133873, TJ : 2629452
TS : 40862819, TJ : 40578491
TS : 7928226, TJ : 6987271
TS : 2337698, TJ : 2081548
TS : 2584213, TJ : 1470869
TS : 4851254, TJ : 4487823
TS : 73198054, TJ : 67498824
TS : 8886774, TJ : 8111426
TS : 17806125, TJ : 2820116
TS : 16314063, TJ : 14551826
TS : 10485094, TJ : 7662120
TS : 25490019, TJ : 23695275
TS : 4908270, TJ : 3574256
TS : 2282682, TJ : 1434141
TS : 26834266, TJ : 21146647
TS : 9553175, TJ : 9176666
TS : 268837066, TJ : 268201702
TS : 1923542, TJ : 1674774
TS : 7195111, TJ : 6930384
TS : 13995569, TJ : 11890928
TS : 15787251, TJ : 10623595
TS : 14834811, TJ : 8962178
TS : 16188149, TJ : 8899824
TS : 17223180, TJ : 13468658
TS : 20945287, TJ : 18460341
TS : 10871929, TJ : 8955377
TS : 13530013, TJ : 7711174
TS : 17864807, TJ : 14047311
TS : 17223390, TJ : 15382915
TS : 22757438, TJ : 17648768
TS : 35151765, TJ : 34843186
TS : 39144828, TJ : 38737248
TS : 34546533, TJ : 31137400
TS : 71620636, TJ : 71339518
TS : 327729632, TJ : 327501556
TS : 3981118, TJ : 3757358
TS : 8800385, TJ : 8411188
TS : 9980898, TJ : 5270650
TS : 1661634, TJ : 1436611
TS : 13799965, TJ : 13570778
TS : 3712453, TJ : 2363045
TS : 4475003, TJ : 4210582
TS : 4770656, TJ : 4557044
TS : 9914334, TJ : 9168683
TS : 6617217, TJ : 4614769
TS : 6100468, TJ : 5745497
TS : 4680573, TJ : 4366672
TS : 28849382, TJ : 28476880
TS : 26017683, TJ : 25795044
TS : 28990238, TJ : 28390664
TS : 2739911, TJ : 1290334
TS : 10218138, TJ : 9489001
TS : 1719806, TJ : 1420929
TS : 1545658, TJ : 1329048
TS : 2232100, TJ : 1463307
TS : 4274053, TJ : 3793788
TS : 2093336, TJ : 1579366
TS : 32540226, TJ : 31802539
TS : 18328818, TJ : 14808533
TS : 4940279, TJ : 1299294
TS : 1664866, TJ : 1401292
TS : 30530021, TJ : 30320695
TS : 1845074, TJ : 1598763
TS : 60408910, TJ : 59175351
TS : 1424694, TJ : 1180966
TS : 1613427, TJ : 1337255
TS : 5721789, TJ : 2917556
TS : 3498325, TJ : 1857021
TS : 1563008, TJ : 1332604
TS : 19972845, TJ : 18551722
TS : 22114042, TJ : 21162240
