TS : 33963313, TJ : 33114288
TS : 1073051, TJ : 956866
TS : 1025871, TJ : 914791
TS : 3704904, TJ : 3608276
TS : 1128442, TJ : 1027138
TS : 1140860, TJ : 1046205
TS : 1209462, TJ : 866100
TS : 942909, TJ : 847030
TS : 1238261, TJ : 1120643
TS : 5602003, TJ : 5507317
TS : 1468666, TJ : 1369898
TS : 1371478, TJ : 1287484
TS : 2634048, TJ : 2514434
TS : 1096832, TJ : 993888
TS : 934159, TJ : 833215
TS : 3960707, TJ : 3410839
TS : 1119303, TJ : 1023509
TS : 925500, TJ : 829670
TS : 1060652, TJ : 969994
TS : 3277261, TJ : 3163268
TS : 3288191, TJ : 3180958
TS : 3294915, TJ : 3205831
TS : 1003960, TJ : 912158
TS : 1108401, TJ : 997411
TS : 1089227, TJ : 980030
TS : 3790694, TJ : 3650458
TS : 1082225, TJ : 990579
TS : 3250472, TJ : 3159896
TS : 1061530, TJ : 966908
TS : 1230374, TJ : 1111070
TS : 1447539, TJ : 1313770
TS : 2327141, TJ : 2226641
TS : 1062071, TJ : 968476
TS : 9218778, TJ : 9121438
TS : 3449832, TJ : 3341093
TS : 1285322, TJ : 1148276
TS : 934412, TJ : 843072
TS : 1066893, TJ : 967986
TS : 1038556, TJ : 950252
TS : 2261373, TJ : 1310672
TS : 2274858, TJ : 1242469
TS : 1878764, TJ : 1041196
TS : 4358258, TJ : 3271288
TS : 7115153, TJ : 4432187
TS : 2088181, TJ : 1172090
TS : 1917003, TJ : 1082356
TS : 2000731, TJ : 1149033
TS : 1774046, TJ : 937094
TS : 1879525, TJ : 1017263
TS : 2021519, TJ : 1155287
TS : 1801167, TJ : 945367
TS : 1984329, TJ : 1021184
TS : 1925841, TJ : 1084640
TS : 1784051, TJ : 982029
TS : 2049971, TJ : 1076069
TS : 1492777, TJ : 732510
TS : 1417172, TJ : 1153079
TS : 1411739, TJ : 1309084
TS : 2679605, TJ : 2410771
TS : 1193206, TJ : 1103234
TS : 1213556, TJ : 1122419
TS : 1294771, TJ : 1206343
TS : 1270803, TJ : 1179119
TS : 1770044, TJ : 1171980
TS : 1198338, TJ : 1105139
TS : 3879329, TJ : 3792148
TS : 1551976, TJ : 912428
TS : 1413419, TJ : 1323614
TS : 3669669, TJ : 3547550
TS : 3311152, TJ : 3233740
TS : 6626605, TJ : 6541540
TS : 979459, TJ : 889567
TS : 26331349, TJ : 25629478
TS : 1344646, TJ : 1264152
TS : 1279532, TJ : 785758
TS : 9234325, TJ : 9118915
TS : 5537016, TJ : 5448551
TS : 967618, TJ : 866379
TS : 1394951, TJ : 1259510
TS : 1224327, TJ : 1122097
TS : 1163279, TJ : 1066187
TS : 2939832, TJ : 2855839
TS : 4250137, TJ : 4115765
TS : 1108543, TJ : 1003304
TS : 7149129, TJ : 7061979
TS : 1180653, TJ : 1081524
TS : 1771609, TJ : 1410428
TS : 2696538, TJ : 2587124
TS : 874462, TJ : 778785
TS : 1038132, TJ : 946682
TS : 1026747, TJ : 935592
TS : 1031807, TJ : 935170
TS : 1089771, TJ : 998903
TS : 1148306, TJ : 1045223
TS : 3247585, TJ : 3148146
TS : 945328, TJ : 834161
TS : 1084179, TJ : 990044
TS : 1130648, TJ : 1036808
TS : 1132498, TJ : 1029372
TS : 1097349, TJ : 997964
TS : 3695365, TJ : 3600333
TS : 1136455, TJ : 1026922
TS : 3546205, TJ : 3451225
TS : 9270628, TJ : 9180580
TS : 3727532, TJ : 3635761
TS : 7418483, TJ : 7308394
TS : 1057132, TJ : 966405
TS : 1938025, TJ : 1032035
TS : 18445580, TJ : 18330684
TS : 2414001, TJ : 1426411
TS : 2640396, TJ : 1132898
TS : 3808263, TJ : 1118312
TS : 4683222, TJ : 3545548
TS : 1871868, TJ : 982954
TS : 2026358, TJ : 1169360
TS : 4264206, TJ : 3438150
TS : 2431070, TJ : 1425175
TS : 2115087, TJ : 1206668
TS : 1866866, TJ : 1020015
TS : 2054743, TJ : 1153002
TS : 1907053, TJ : 1009725
TS : 2159212, TJ : 1257711
TS : 1519551, TJ : 932674
